index,timestamp,maxon_current,maxon_torque,maxon_velmes,akd_torque,akd_velmes,sinkage,pressure_setting
1041,13:22:31.301000,1589.0000,0.0000,23.5998,-65.0000,-15.3616,2388.0000,1500.0000
1049,13:22:31.311000,1699.0000,0.0000,19.6665,-46.0000,-15.6668,2388.0000,1500.0000
1057,13:22:31.321000,910.0000,0.0000,19.6665,-39.0000,-15.6191,2395.0000,1500.0000
1065,13:22:31.331000,628.0000,0.0000,19.6665,-58.0000,-15.9433,2405.0000,1500.0000
1073,13:22:31.341000,1269.0000,0.0000,19.6665,-43.0000,-16.0291,2402.0000,1500.0000
1081,13:22:31.351000,1253.0000,0.0000,23.5998,-48.0000,-15.4284,2433.0000,1500.0000
1089,13:22:31.361000,1242.0000,0.0000,23.5998,-53.0000,-16.4487,2415.0000,1500.0000
1097,13:22:31.371000,1437.0000,0.0000,15.7332,-43.0000,-15.8670,2441.0000,1500.0000
1105,13:22:31.381000,1957.0000,0.0000,23.5998,-51.0000,-15.4761,2414.0000,1500.0000
1113,13:22:31.391000,1566.0000,0.0000,19.6665,-41.0000,-15.6572,2421.0000,1500.0000
1121,13:22:31.401000,1519.0000,0.0000,15.7332,-43.0000,-15.9147,2414.0000,1500.0000
1129,13:22:31.411000,1355.0000,0.0000,19.6665,-36.0000,-15.7526,2447.0000,1500.0000
1137,13:22:31.421000,1253.0000,0.0000,19.6665,-27.0000,-15.4093,2429.0000,1500.0000
1145,13:22:31.431000,1265.0000,0.0000,23.5998,-34.0000,-16.6966,2444.0000,1500.0000
1153,13:22:31.441000,2320.0000,0.0000,19.6665,-60.0000,-15.8575,2431.0000,1500.0000
1161,13:22:31.451000,1476.0000,0.0000,19.6665,-41.0000,-16.1531,2441.0000,1500.0000
1169,13:22:31.461000,859.0000,0.0000,19.6665,-34.0000,-16.2675,2463.0000,1500.0000
1177,13:22:31.471000,1207.0000,0.0000,19.6665,-46.0000,-16.0673,2445.0000,1500.0000
1185,13:22:31.481000,1964.0000,0.0000,23.5998,-58.0000,-16.1054,2459.0000,1500.0000
1193,13:22:31.491000,1492.0000,0.0000,19.6665,-55.0000,-15.5047,2439.0000,1500.0000
1201,13:22:31.501000,1312.0000,0.0000,19.6665,-46.0000,-16.2770,2456.0000,1500.0000
1209,13:22:31.511000,664.0000,0.0000,19.6665,-51.0000,-16.0101,2465.0000,1500.0000
1217,13:22:31.521000,1156.0000,0.0000,19.6665,-43.0000,-15.5524,2488.0000,1500.0000
1225,13:22:31.531000,800.0000,0.0000,19.6665,-27.0000,-16.1722,2513.0000,1500.0000
1233,13:22:31.541000,1289.0000,0.0000,23.5998,-41.0000,-15.8861,2494.0000,1500.0000
1241,13:22:31.551000,1058.0000,0.0000,19.6665,-24.0000,-16.1436,2471.0000,1500.0000
1249,13:22:31.561000,871.0000,0.0000,19.6665,-46.0000,-15.8480,2507.0000,1500.0000
1257,13:22:31.571000,1585.0000,0.0000,19.6665,-22.0000,-16.5726,2489.0000,1500.0000
1265,13:22:31.581000,1035.0000,0.0000,19.6665,-55.0000,-15.8289,2516.0000,1500.0000
